analyte	SAT_1	SAT_10	SAT_11	SAT_12	SAT_13	SAT_14	SAT_15	SAT_16	SAT_17	SAT_18	SAT_19	SAT_2	SAT_20	SAT_21	SAT_22	SAT_23	SAT_24	SAT_25	SAT_26	SAT_27	SAT_28	SAT_29	SAT_3	SAT_30	SAT_31	SAT_32	SAT_33	SAT_34	SAT_35	SAT_36	SAT_38	SAT_39	SAT_4	SAT_40	SAT_41	SAT_42	SAT_43	SAT_45	SAT_46	SAT_47	SAT_48	SAT_49	SAT_5	SAT_50	SAT_51	SAT_52	SAT_53	SAT_54	SAT_55	SAT_56	SAT_57	SAT_58	SAT_59	SAT_6	SAT_7	SAT_8	SAT_9	VAT__1	VAT__10	VAT__11	VAT__12	VAT__13	VAT__16	VAT__17	VAT__18	VAT__19	VAT__2	VAT__20	VAT__21	VAT__23	VAT__24	VAT__25	VAT__26	VAT__27	VAT__29	VAT__3	VAT__30	VAT__31	VAT__32	VAT__33	VAT__35	VAT__36	VAT__37	VAT__4	VAT__40	VAT__41	VAT__42	VAT__44	VAT__45	VAT__46	VAT__47	VAT__48	VAT__49	VAT__5	VAT__52	VAT__53	VAT__54	VAT__55	VAT__56	VAT__57	VAT__58	VAT__59	VAT__6	VAT__7	VAT__8	VAT__9
aspartic acid	1995.8491	722.9567	1380.9362	2404.8913	871.121	3378.7221	3495.6954	2637.4046	484.4398	1361.8421	1051.5464	2343.5624	3912.8321	2862.1285	1726.8245	1252.3534	821.608	1780.9149	1473.074	2126.3158	756.1437	1250.5112	1434.466	627.5611	3688.1607	5895.1271	1441.2618	2512.5921	3388.8541	928.3217	4440.0826	2792.7565	2686.9658	2119.3108	4347.4916	1191.4286	2782.6384	1924.1101	2756.5495	2187.1566	5213	6807.1429	1338.6412	1369.5167	2050.6777	2721.0781	1913.2075	1276.2172	2017.3116	2006.8359	4607.5231	2318.7898	2116.3416	1383.8384	1300.8386	1412.1339	5413.8492	7293.578	10276.5101	2906.3682	2105.8417	5581.5077	1629.1038	2534.4828	16908.7546	3343.3504	6481.3665	8583.3333	2939.0812	3033.4008	609.0047	7002.7454	2742.1405	4099.8673	3472.7955	1777.1446	5572.8537	10283.9757	2034.0909	2217.6893	4130.3538	11462.2824	3400.0858	4645.9459	5712.3288	19106.0037	2618.8525	2255.9603	3121.0227	37954.5454	4168.6275	10818.3345	30715.0997	1978.5177	3669.5842	4872.2334	3768.8588	22172.6717	7020	9294.5159	3523.1481	3732.418	3967.4115	2708.034	6541.1576	19463.1902
azelaic acid	101.8868	76.6226	79.3758	117.1875	81.6973	78.1638	91.3907	59.1603	124.4813	106.9945	85.567	122.0814	119.5723	131.6517	68.0473	98.8414	55.5905	114.7248	89.7532	186.3158	66.1626	114.5194	96.7406	91.2095	70.8245	105.9322	152.2843	111.4865	107.0758	153.1469	117.7686	191.1469	63.0342	144.3433	135.4515	93.2143	54.3404	101.7461	46.9649	203.9835	120	102.8571	94.4798	74.7212	82.2039	29.0733	144.3396	17.7903	77.3931	100.5859	170.3336	106.051	165.4338	105.0505	251.5723	77.4059	261.3784	169.3719	44.2953	181.5889	224.2462	138.2088	97.1606	108.2375	84.1554	61.3811	92.1325	128.0488	210.719	164.9798	178.91	135.8957	81.2709	65.6934	50.6567	95.3809	96.1306	206.8966	101.3258	185.0522	78.2123	268.8588	129.9314	96.2838	275.3425	270.1689	139.029	113.245	158.5227	365.8537	340.1961	174.278	152.4217	377.014	97.3742	239.4366	113.1528	135.622	147.6923	110.6974	120.3704	176.8252	68.9013	95.0359	66.5595	222.9039
behenic acid	589.8113	328.125	687.924	646.0598	372.3876	367.5558	682.4503	685.1145	720.9544	506.9252	386.5979	386.2575	487.0382	694.5404	494.0828	528.9645	665.201	660.4718	742.7076	874.7368	562.3819	445.8078	588.7656	477.8586	434.4609	695.9746	479.6954	761.0565	583.2812	1066.7832	572.314	535.2113	699.7863	554.9415	921.0702	621.4286	815.1059	551.041	862.6198	494.5055	569	740	453.2909	504.0892	406.5999	401.5748	780.1887	367.9775	577.3931	872.0703	580.1987	727.0701	903.8332	631.3131	400.4193	566.9456	433.0299	801.3409	585.906	903.2156	389.1332	758.6985	1291.0382	470.3065	818.434	710.6777	648.0331	818.0894	389.4807	497.9757	790.2844	448.8675	762.5418	557.3988	743.9024	326.6347	580.4111	690.6694	533.1439	593.342	555.8659	896.5184	810.4631	530.0676	691.4384	876.6417	765.1324	503.6424	618.75	730.5987	717.6471	509.7381	2061.2536	908.7003	447.4836	813.8833	772.7273	1016.6553	662.3077	534.1909	447.2222	688.2117	405.0279	412.4755	566.2379	609.407
benzoic acid	1906.4151	2184.1947	3856.8521	1676.2908	2339.772	2984.1811	2436.755	5362.5954	3316.39	2401.662	2728.866	2580.7205	5163.9663	2225.6393	1713.0178	3689.7176	2870.9171	1810.9364	1602.0942	1853.6842	1487.7127	2126.7894	2147.018	1736.9465	1946.0888	3987.2881	1774.1117	1825.2457	1780.8391	1713.986	3058.8843	2388.33	1912.3932	1863.7841	3120.4013	2568.2143	1788.1066	1434.5198	2692.3323	1686.4698	3902	8525.7143	3446.9214	1976.2082	1740.4243	2134.1611	2063.2075	2424.1573	1589.613	7339.8438	4039.0348	2448.7261	4465.7028	2129.2929	1678.1971	2361.9247	2705.4616	2047.283	5760.4027	4666.4565	1982.4121	2414.3041	4296.362	2470.3065	2395.1911	3319.3734	3465.8385	6454.2683	2242.0107	4538.4615	3334.1232	1823.267	1737.7926	2357.996	3647.2796	3177.2645	1590.6892	2409.7363	2584.2803	6142.9504	1860.3352	2001.9342	3182.6758	1785.8108	2611.6438	4056.7542	2436.3178	2119.8675	2486.9318	4967.8492	1767.6471	3069.5097	13676.6382	4641.783	4173.9606	2531.1871	3145.0677	2710.4011	9853.8462	2730.8734	1910.1852	3292.3644	2393.8547	2169.1705	3312.5402	3837.4233
beta-alanine	187.9245	153.2452	133.3107	337.2962	248.8917	75.3722	489.7351	191.7939	139.0041	226.4543	123.7113	263.1755	305.2495	154.4575	300.789	177.0456	114.0075	259.4711	192.9693	244.2105	129.4896	75.6646	73.8558	86.2525	295.9831	237.2881	156.6352	108.7224	170.9455	271.6783	360.5372	161.9718	285.2564	145.3186	539.7993	336.4286	222.488	117.8643	499.361	214.2857	266	171.4286	199.5754	89.2193	144.0778	348.8795	647.1698	136.7041	102.8513	353.5156	132.0085	202.5478	177.5387	156.5657	193.9203	98.3264	171.6515	153.4933	170.1342	278.058	216.7085	146.9072	224.9335	219.3487	265.4131	134.2711	327.1222	299.7967	80.8921	142.7126	107.8199	246.0535	181.6054	199.071	48.7805	80.9838	143.289	365.1116	181.8182	158.6162	160.149	252.4178	189.1081	436.8243	407.8767	509.3809	211.8537	386.4238	180.6818	1125.2772	252.9412	471.4574	407.4074	272.2879	373.0853	337.0221	212.766	645.4793	184.6154	174.6784	129.6296	101.4735	94.041	204.7681	126.3666	400.818
capric acid	74.717	274.9399	401.9674	151.8342	230.8423	334.0571	176.8212	245.229	391.0788	341.759	284.5361	180.1201	277.0577	185.5563	139.0533	399.7104	340.1382	216.5833	172.7749	233.6842	135.1607	179.9591	222.6075	175.4792	236.7865	408.8983	288.2524	186.1179	199.1234	40.9091	228.3058	156.9416	176.2821	280.8843	320.0669	259.2857	299.3848	133.9825	166.7732	121.5659	351	698.5714	378.9809	235.316	129.0513	242.5803	207.5472	197.5655	124.2363	597.6562	745.2094	565.6051	470.074	245.4545	188.6792	283.4728	261.3784	200.0706	566.7785	345.2081	293.0276	189.433	413.9308	120.6897	171.0851	325.1279	307.4534	666.6667	199.7337	312.753	437.2038	140.0137	70.2341	450.8958	168.8555	312.2376	288.3918	322.5152	151.5152	734.3342	309.1248	195.3578	838.765	166.2162	165.411	427.7674	266.7087	250.3311	294.8864	208.4257	119.6078	382.8073	1603.9886	370.5693	580.9628	409.4567	252.4178	416.0435	575.7692	288.4225	222.2222	508.3724	256.0521	145.983	291.3183	205.5215
caprylic acid	695.0943	871.6947	1413.5007	570.6522	824.5725	1084.9876	974.5033	992.3664	1254.1494	1027.3546	1391.7526	983.6558	817.5632	709.0532	711.0454	1213.2513	1221.1055	644.3888	523.9342	860	766.5406	856.8507	985.0902	921.0178	788.5835	1373.9407	1121.4648	591.5233	911.0833	752.0979	1084.7107	943.662	697.6496	892.3927	1557.1906	1227.8571	904.3062	495.6347	945.0479	705.7005	1427	1481.4286	1213.3758	671.3755	749.558	759.5397	839.6226	751.8727	610.998	1512.6953	1449.9645	916.242	1310.3564	835.3535	609.0147	1152.7197	1398.5696	997.1771	1605.7047	1094.2623	554.9623	729.7036	1191.2156	449.2337	1113.4402	1104.8593	1673.913	1454.2683	1116.5113	779.3522	1869.6682	840.0824	664.214	1433.3112	832.0826	1271.4457	811.6687	1160.7505	701.7045	2526.1097	908.7523	719.5358	1202.8302	931.4189	1003.7671	1540.8068	921.1854	1105.6291	1099.4318	1366.9623	758.8235	1373.0692	2814.8148	1636.9495	1456.2363	794.7686	592.8433	1059.4833	1729.6154	1423.8321	704.6296	1136.3027	1125.6983	674.0692	875.8842	884.4581
cholesterol	11805.283	4697.4159	17959.2944	22412.3641	13119.0627	16615.3846	29652.3179	24948.4733	6414.9378	15449.7922	10644.3299	14725.8172	23058.976	22052.1769	29911.2426	40365.315	13261.6206	27606.862	20578.1601	16783.1579	8960.3025	10679.9591	11048.1969	10065.7634	25209.3023	34497.8814	17312.5453	16750.6142	56467.439	18854.8951	27532.0248	38756.5392	22739.3162	32358.2575	41899.6655	21819.6429	42132.2625	34391.2021	43234.5048	42630.4945	14534	47757.1429	6759.0234	17313.0111	32073.6594	35064.2035	25511.3207	17248.1273	31381.8737	12033.2031	31448.8999	17312.1019	32386.6846	3202.0202	7219.0776	23800.2092	33994.7984	25498.9414	26401.0067	17537.5158	24640.7035	36315.0773	37229.8137	11213.6015	21637.1763	22176.7903	30412.0083	23958.3333	29750.3329	44722.6721	14081.7535	28768.7028	27595.9866	20933.3112	20442.7767	12770.246	25271.4631	51004.5639	30125.947	27159.5953	44741.1546	38061.8956	47297.5986	40344.9324	39748.9726	45257.5047	19793.1904	40064.9007	63695.4546	43064.3015	38909.8039	24961.0477	39424.5014	32495.7035	28554.7046	32927.5654	26061.8956	32381.0333	42175.3846	29327.6913	28441.6667	34609.5111	33988.8268	31024.8204	27853.6977	40598.1595
cis-gondoic acid	73.5849	79.3269	88.5346	106.9973	120.646	128.4119	125.1656	74.4275	151.4523	113.2271	209.2784	99.066	186.6494	112.9924	100.5917	161.8392	83.8568	265.9042	42.6328	116.8421	34.0265	44.9898	56.172	110.0463	312.8964	114.4068	85.9318	93.9803	461.1772	268.5315	212.8099	151.9115	94.0171	248.6996	112.3746	310.7143	158.92	413.0289	308.6262	227.6786	106	187.1429	94.4798	150.5576	68.0613	235.3119	70.7547	156.367	163.9511	266.6016	194.819	127.0701	437.7942	52.5253	100.6289	108.7866	241.8726	119.6189	111.745	91.7402	65.9548	86.018	323.425	150.3831	196.979	55.6266	215.3209	69.1057	109.8535	30.3644	156.3981	408.7165	44.1472	204.0478	103.1895	82.7834	68.0169	214.503	101.3258	277.0888	303.5382	542.5532	104.2024	309.1216	296.9178	140.7129	138.0832	206.6225	138.0682	17.7384	70.5882	151.1081	508.547	133.7272	137.8556	91.5493	108.3172	215.1598	246.9231	108.6662	58.3333	296.3831	156.4246	108.7524	247.91	150.3067
citric acid	1003.0189	341.6466	3423.3379	841.712	399.9367	1590.2605	2302.649	3385.4962	367.2199	1215.374	512.3711	2777.8519	2561.5684	1660.6773	737.6726	962.3461	645.4146	1273.767	672.0269	218.9474	539.6975	393.6605	541.9556	361.8638	1546.5116	4077.3305	1003.9884	1543.3047	1417.345	946.1538	2068.1818	1086.5191	1037.3932	595.9038	3839.7993	913.9286	761.7908	1103.0893	2086.5815	601.6484	3146	2831.4286	483.0149	569.8885	1720.0943	1386.4325	4408.4906	444.7566	1179.2261	2525.3906	4655.4294	1588.8535	2953.5978	628.2828	610.0629	481.1715	2377.7633	2706.7749	1689.2617	1571.8789	1383.1658	914.3041	275.5102	714.5594	3252.4661	1500	3078.6749	789.6341	2179.0945	1878.5425	398.1043	3067.9478	756.5217	1275.0498	2590.9944	2380.9238	927.7509	955.3753	2929.9242	806.7885	2394.7858	4664.4101	1797.1698	1648.9865	2874.6575	7830.6754	2992.4338	2993.0464	942.6136	1035.4767	1192.1569	8760.2418	4579.7721	837.8088	2584.2451	2806.841	1327.853	8545.2073	2113.8462	495.5992	837.037	6323.5097	652.7002	4223.71	579.7428	5062.3722
citrulline	227.5472	96.4543	124.152	200.7473	132.9956	261.4764	286.0927	250	84.0249	238.9197	169.0722	254.1694	256.6429	372.1493	174.5562	139.0297	167.7136	287.3481	246.8212	197.8947	120.983	151.3292	147.7115	151.6854	310.7822	316.7373	158.8107	240.4791	307.1384	230.7692	265.4959	329.9799	236.1111	279.909	531.7726	238.9286	178.4005	314.3049	160.0639	309.0659	491	518.5714	193.2059	126.0223	317.3247	380.6784	299.0566	206.9288	238.2892	270.5078	358.7651	467.1975	297.579	245.4545	253.6688	312.7615	349.1547	662.6676	258.7248	204.2875	332.6005	286.0825	296.8057	347.7011	466.0912	358.6957	471.0145	332.3171	240.6791	161.9433	151.6588	524.022	225.7525	202.0571	228.8931	139.4721	199.5163	387.931	456.4394	149.8042	248.6034	711.7988	302.3156	246.2838	353.4247	548.7805	209.9622	133.1126	294.8864	852.5499	283.3333	446.2727	1029.9145	359.2911	324.9453	382.2938	208.8975	550.6458	346.1538	356.4658	377.7778	260.2143	198.324	297.8445	436.9775	807.771
conduritol-beta-epoxide	100.7547	78.4255	65.1289	105.9783	88.3471	83.7469	109.2715	67.7481	87.1369	102.8393	121.6495	99.066	128.3215	102.6261	84.8126	120.5648	80.0879	73.9814	139.1174	143.1579	58.6011	77.7096	140.43	74.3556	106.7653	198.0932	122.9152	136.3636	110.8328	89.1608	103.3058	87.5252	142.094	117.0351	120.4013	115.7143	86.1244	89.6575	76.6773	154.533	241	142.8571	121.0191	131.5985	79.5522	149.0006	147.1698	87.0787	66.1914	127.9297	137.3314	146.1783	98.8568	135.3535	84.9057	99.3724	85.8257	331.3338	161.0738	68.0958	48.995	89.884	125.1109	158.046	383.7855	90.1535	482.4017	178.8618	110.8522	133.6032	82.9384	246.0535	200.6689	75.647	99.4371	122.3755	82.5272	149.0872	109.8485	93.0157	84.73	47.3888	106.7753	129.7297	121.2329	121.0131	70.9332	104.3046	132.9545	480.0443	168.6275	313.2975	198.0057	146.6165	158.6433	140.8451	71.5667	88.7152	65.7692	123.8998	94.4444	64.3001	89.3855	102.8739	95.4984	264.8262
creatinine	2791.6981	2354.5673	1511.194	4406.25	4064.9145	1899.1935	15686.4238	4439.8855	3076.7635	975.4155	3135.0515	2796.8646	9027.2197	5170.698	3270.217	2251.6293	8628.7688	5665.4753	1347.4196	1365.2632	2396.0302	1750.5112	4210.8183	896.2327	4491.5433	5501.0593	6791.8782	2138.5135	7354.4145	3657.6923	6573.3471	767.6056	2342.9487	4757.4772	9596.99	4688.5714	5419.6856	1673.2707	12399.6805	7429.9451	7324	3128.5714	1721.8684	4922.6766	3710.6659	9854.9364	6505.6604	5875.4682	10264.7658	5807.6172	6608.9425	9758.5987	6629.4553	916.1616	1383.6478	2533.4728	3725.6177	4527.5229	9258.7248	3803.9092	5050.2513	4488.4021	2339.8403	5492.3372	8318.434	2176.1509	3004.1408	4603.6585	1377.1638	2760.1215	1034.3602	5275.2231	1862.2074	2384.8706	3789.8687	3567.7864	1450.1209	7798.1744	4736.7424	2918.7337	3996.2756	6723.4043	4074.1852	4198.9865	14208.9041	11427.2983	4131.1475	3560.2649	2030.1136	32842.5721	4855.8824	16886.8368	12027.0655	3931.2567	4031.7287	5663.9839	3788.2012	17194.4256	7340.7692	4037.9147	1276.8519	1773.2753	1155.4935	1573.4814	2410.6109	6289.3661
cysteine	544.5283	110.8774	362.2795	279.212	123.4959	166.5633	691.3907	357.8244	634.8548	98.6842	607.2165	125.0834	305.2495	729.7858	342.2091	880.8834	642.5879	164.0457	125.6545	128.4211	130.4348	74.6421	325.5895	55.5188	443.9746	396.1864	196.8818	492.0147	417.0319	122.7273	1063.0165	66.3984	460.4701	592.0026	707.3579	233.5714	270.6767	181.3298	1107.0288	787.0879	858	375.7143	305.7325	163.9405	457.8668	351.6051	1147.1698	202.2472	326.8839	480.4688	166.0752	778.6624	137.189	181.8182	356.3941	616.1088	618.3355	270.9951	141.9463	146.5952	468.2789	158.5052	131.7657	117.8161	429.0999	271.4194	372.6708	183.9431	286.6178	243.9271	195.4976	213.1091	266.8896	392.1699	156.6604	1143.6713	293.8331	841.2779	580.4924	295.6919	747.6723	312.3791	466.9811	804.7297	1393.1507	704.9719	343.3165	1224.8344	286.3636	15237.2506	803.9216	1445.6011	1039.886	211.0634	182.7133	1819.9195	387.8143	2497.2808	353.0769	449.8984	394.4444	181.8486	437.6164	451.6656	145.6592	1031.6973
cystine	133.5849	79.3269	74.2877	198.7092	76.9474	99.5658	482.7815	153.626	124.4813	204.6399	121.6495	178.1187	125.4051	357.6365	169.6252	95.5829	71.608	214.4389	376.9634	115.7895	165.4064	108.3845	114.4244	114.0119	254.7569	364.4068	108.7745	509.5209	330.6199	127.972	170.4545	596.5795	164.5299	712.9389	885.9532	162.8571	257.3479	98.724	122.6837	294.6429	1653	307.1429	126.327	95.9108	202.416	303.4525	125.4717	126.4045	123.2179	223.6328	88.3605	88.8535	112.9792	211.1111	284.0671	88.9121	485.6957	288.9908	82.5503	102.1438	287.3744	62.8222	73.2032	65.1341	246.9174	124.6803	391.3043	102.6423	310.5859	150.8097	77.0142	252.2306	329.097	340.4114	82.5516	126.8746	242.1403	565.9229	964.9621	105.7441	496.2756	397.4855	295.8834	330.4054	439.726	674.015	182.5347	211.5894	530.1136	1696.2306	552.9412	793.8214	333.3333	132.116	199.1247	368.2093	139.265	198.8443	251.5385	422.478	138.8889	229.069	635.9404	322.3383	105.1447	634.9693
cytidine-5-monophosphate NIST	270.566	72.1154	89.5522	388.2473	114.9462	120.9677	367.5497	690.8397	72.6141	208.795	161.8557	576.3843	550.2268	500.6911	525.641	294.3519	83.8568	180.1287	182.8721	187.3684	195.6522	157.4642	135.2288	86.2525	482.0296	238.3475	214.2857	219.2875	608.6412	231.8182	493.8017	229.3763	264.9573	502.2757	500.6689	377.1429	469.583	302.2163	664.2173	1275.4121	201	137.1429	218.6837	308.9219	531.2316	264.3852	389.6226	573.97	507.1283	299.8047	420.511	321.9745	342.9724	125.2525	186.5828	350.4184	182.3797	252.9993	301.0067	242.1185	291.1432	419.4588	381.9876	246.1686	209.0012	208.1202	218.4265	423.7805	234.6871	207.4899	190.7583	188.4008	366.2207	261.7784	368.6679	80.9838	288.3918	797.1602	1174.2424	269.2559	378.9572	471.9536	738.422	540.2027	1167.1233	818.9493	736.7591	398.3444	692.0455	1355.8758	927.451	571.1887	514.245	170.7841	436.5427	315.8954	404.2553	1610.1292	774.2308	469.1943	211.1111	378.7676	193.6685	179.2946	191.9614	582.8221
dehydroabietic acid	319.2453	194.7115	264.5862	179.3478	166.2445	276.3648	200.6623	253.8168	429.4606	177.6316	336.0825	325.2168	237.2003	179.3366	149.9014	222.6647	115.892	560.7577	146.9708	191.5789	213.6106	188.1391	180.9986	316.2591	183.9323	543.4322	193.6186	475.43	337.1947	561.1888	610.5372	218.3099	321.5812	549.0897	373.2441	326.7857	154.8189	171.2559	679.5527	187.5	226	282.8571	174.0977	143.8662	168.8273	238.9461	116.0377	478.4644	541.7515	267.5781	175.6565	473.8854	287.4916	176.7677	211.74	172.5941	158.9727	200.0706	226.5101	199.5586	242.1482	212.6289	401.9521	215.5172	174.7842	210.0384	258.7992	262.1951	167.7763	285.4251	261.8483	186.3418	339.1304	210.0199	132.2702	171.8656	273.8815	206.8966	342.803	209.53	192.7374	347.1954	284.3053	200.6757	245.5479	669.7936	2527.1122	224.5033	1728.4091	446.7849	247.0588	274.0094	370.3704	256.1762	217.7243	147.8873	139.265	337.5255	856.1538	173.6628	332.4074	273.2753	189.9441	791.6395	286.4952	246.4213
dodecanol	387.1698	198.3173	381.6147	556.3859	182.3939	275.4342	294.0397	311.0687	379.668	344.8753	311.3402	517.3449	249.838	267.4499	239.645	288.9211	298.6809	389.2066	311.8923	546.3158	164.4612	157.4642	363.0374	250.8262	349.8943	442.7966	337.2009	559.2752	359.737	340.9091	467.9752	274.6479	576.9231	527.6333	302.0067	292.5	306.5619	398.9255	359.4249	324.5192	338	635.7143	261.1465	469.5167	172.363	320.7147	407.5472	371.7228	412.4236	227.5391	501.4194	275.1592	305.649	324.2424	276.7296	271.9665	378.4135	483.7685	408.7248	342.3707	307.1608	341.1727	383.3185	302.682	370.8385	214.8338	282.6087	307.9268	251.6644	509.1093	247.6303	386.0673	323.0769	464.8308	252.3452	523.6953	279.3229	383.3671	306.8182	170.3655	467.4115	335.5899	647.084	355.7432	477.7397	386.9606	442.623	544.3709	502.8409	503.3259	533.3333	327.4009	562.6781	509.13	350.1094	221.328	287.234	261.0469	250.3846	299.5938	262.037	375.7535	245.8101	271.3912	403.2154	413.0879
epsilon-caprolactam	269.434	207.3317	228.9688	424.9321	230.8423	226.1166	699.3377	272.9008	187.7593	329.2936	247.4227	245.1634	181.7887	435.3836	340.2367	245.4743	195.9799	186.5618	486.911	274.7368	403.5917	191.2065	325.5895	261.7317	665.9619	351.6949	183.8289	725.1229	475.2661	263.2867	953.5124	707.2435	588.6752	624.1873	213.7124	350.3571	533.1511	652.7871	710.2236	697.4588	247	331.4286	188.9597	221.9331	429.5816	264.3852	435.8491	154.4944	701.6293	291.0156	288.5025	582.8025	267.3167	214.1414	147.7987	228.0335	309.1678	305.928	241.6107	207.1248	521.0427	234.8582	461.8456	133.1418	217.3243	347.1867	210.1449	211.3821	221.7044	325.9109	308.0569	315.0309	546.8227	212.0106	195.122	182.6635	303.8089	661.7647	255.6818	236.9452	720.6704	232.1083	703.6878	661.8243	762.3288	385.5535	272.3834	801.6556	1041.4773	854.7672	571.5686	358.63	529.9145	412.4597	330.4158	147.8873	180.8511	561.8627	310.3846	312.7962	494.4444	228.0643	393.8547	331.1561	326.045	289.3661
erythritol	112.0755	73.0168	126.1872	118.2065	171.9443	201.9231	374.5033	506.6794	165.9751	165.1662	89.6907	330.2201	299.4167	355.5632	172.5838	118.3925	139.4472	205.8613	180.6283	131.5789	134.2155	85.8896	174.7573	114.0119	197.6744	279.661	199.0573	122.543	336.2555	152.0979	295.4545	163.9839	165.5983	360.8583	265.8863	309.6429	187.6282	156.1451	169.6486	152.4725	427	270	136.9427	167.2862	249.2634	510.5996	238.6792	146.0674	154.7862	421.875	145.8481	185.3503	286.4829	229.2929	91.195	154.8117	281.8596	220.1835	237.5839	119.1677	161.1181	367.268	158.3851	347.7011	298.7053	377.8772	238.0952	215.4472	166.7776	181.1741	116.1137	559.0254	296.99	171.2011	170.7317	134.973	223.0955	228.1947	267.0455	241.8407	142.4581	281.4313	207.1184	199.6622	421.2329	527.6735	193.884	2880.7947	197.7273	940.133	573.5294	969.1068	433.0484	349.6241	452.954	322.9376	154.7389	227.3963	223.8462	143.1957	152.7778	232.0831	190.8752	174.3958	168.8103	427.4029
ethanolamine	2609.434	625.601	839.5522	3515.625	991.7669	912.8412	6379.4702	1399.8092	846.473	2515.928	1483.5052	4310.8739	1816.9151	7066.6897	4749.5069	1288.197	943.1533	6716.2259	2930.4413	2709.4737	2754.2533	1178.9366	3625.1734	1393.9194	3609.9366	7144.0678	7267.2226	3864.2506	3612.3982	3344.0559	5135.3306	2254.5272	4165.5983	7806.2419	11323.7458	2680.7143	5030.0752	2526.5279	8686.5815	8677.5412	9328	1648.5714	1332.2718	4078.4387	6303.1821	2968.2011	3908.4906	897.9401	768.8391	1085.9375	4177.4308	2882.4841	1418.2919	2644.4444	2736.8973	2355.6485	4527.3082	9533.5215	1441.6107	1222.8878	4651.696	1929.1237	2092.2804	897.5096	8816.8927	7914.3223	18142.8571	1459.3496	5638.482	1592.1053	1319.9052	9310.9128	4883.2776	8114.134	1142.5891	4656.5687	6194.075	10916.8357	8525.5682	1479.4386	8108.9385	8763.0561	8320.7547	9417.5676	6452.0548	24887.8987	6682.8499	7248.6755	11069.3182	157162.9712	5881.3725	19055.7421	3341.8803	1914.0709	6072.2101	8034.2052	1362.6692	16501.0197	1725	14427.2173	1245.3704	1957.1333	5041.8994	4169.8236	1398.7138	19025.5624
fructose	242.2642	201.9231	295.1153	209.9185	151.045	244.727	308.9404	999.0458	196.0581	181.7867	313.4021	201.1341	236.2281	411.5411	209.073	193.3382	155.4648	212.2945	151.4585	247.3684	217.3913	216.7689	123.7864	213.1527	187.1036	558.2627	374.1842	279.1769	354.1014	355.5944	189.0496	175.0503	510.6838	335.5007	160.5351	223.9286	142.5154	132.9752	203.1949	151.4423	298	580	167.7282	192.9368	128.1674	409.7517	192.4528	188.2022	239.3075	5393.5547	225.692	199.6815	309.6839	286.8687	626.8344	232.2176	417.4252	452.0113	249.6644	157.9445	180.9045	147.8737	262.2005	383.1418	402.2811	903.4527	379.9172	277.439	179.7603	311.7409	170.6161	296.4997	236.7893	147.3125	209.1932	153.8692	152.3579	517.2414	251.8939	245.7572	173.1844	205.029	349.9142	102.3649	283.5616	361.6323	195.7755	331.7881	412.5	674.0576	292.1569	141.0343	1182.3362	396.348	219.9125	365.1911	211.7988	219.2386	348.4615	366.6215	262.037	572.6725	103.352	216.5251	325.0804	566.4622
fucose 1	139.2453	108.1731	96.6757	95.788	169.0944	132.134	151.9868	125	154.5643	118.4211	118.5567	226.1508	125.4051	152.3842	130.1775	215.0615	159.2337	97.5697	109.9476	130.5263	131.38	128.8344	126.9071	153.6682	158.5624	129.2373	166.4249	103.1941	134.3143	112.2378	128.0992	151.9115	97.2222	141.4174	189.6321	109.2857	135.3383	108.7979	84.345	128.7775	132	237.1429	117.8344	100.3717	81.32	139.0067	109.434	95.5056	224.0326	162.1094	137.3314	133.758	163.4163	109.0909	109.0147	213.3891	146.2939	127.0289	151.0067	145.6494	117.7764	152.7062	208.9618	94.8276	136.8681	153.4527	51.7598	157.5203	119.8402	71.8623	170.6161	142.0728	66.2207	31.8514	102.2514	104.3791	129.6856	69.9797	136.3636	129.2428	40.0372	158.6074	118.3533	111.4865	128.4247	181.5197	175.9142	170.8609	172.1591	290.4656	50	166.2189	804.8433	145.0054	60.1751	108.6519	129.5938	189.6669	240	196.0054	95.3704	136.6376	85.6611	166.5578	147.5884	107.362
fumaric acid	331.6981	256.9111	602.4423	288.3832	164.3445	745.3474	1467.2185	752.8626	185.6846	497.5762	226.8041	495.3302	1039.2093	584.6579	500.9862	716.8718	251.5704	532.8806	210.92	367.3684	478.2609	211.6564	280.8599	159.6167	628.9641	1004.2373	485.1342	477.2727	432.0601	395.4545	559.9174	525.1509	318.3761	925.5527	882.9431	453.2143	797.676	517.7972	790.7348	304.9451	822	1270	284.5011	347.9554	708.8981	447.0018	933.0189	476.5918	418.5336	468.75	1308.3747	295.2229	743.4432	301.0101	266.2474	563.8075	596.8791	748.4121	783.2215	406.6835	323.1784	716.1727	933.008	222.2222	883.1689	694.3734	844.7205	480.6911	559.2543	973.6842	157.5829	956.4173	329.097	625.0829	651.0319	499.4001	1255.1391	1032.9615	806.8182	345.6266	547.486	1201.1605	602.0583	491.5541	695.5479	2182.4578	540.9836	674.5033	632.3864	6281.5965	1163.7255	1302.552	3012.8205	468.8507	670.6783	2089.5372	694.3907	2040.4487	681.9231	1133.3785	589.8148	900.2009	540.9683	644.6767	346.3023	1268.9162
