Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
FLUCYTOSINE (M+H)+	317510		548428	587293	401220	772795	484077	285556	509958		629841	741381	829092	270604	506682	471234	603585	537861	371862	451926	267514	363654	738598	373655	298104	202749	419885		432210																															
GLUCOSE (M+Na)+																															375445	685709	355955	338795	386410	283483	312312	438820	442157	498767	716325	833418	463307	337523	940294	343725	558442	348745	480044	571580	385838	293294	358845	474248	1072296	467440	445267	524857	337900	780724
GLUTATHIONE OXIDIZED (M+H2)+2	2324992	2165289	2650672	2321161	2158629	1366000	5240854	1782957	1994976	3882427	1671510	2496755	3279535	4533306	3301922	4076901	4264373	4887066	2006321	2213409	1431406	2120988	1986130	1724005	5629915	1654799	1032404	2613722	2237727	2707795																														
GLYCEROL MYRISTATE (M+Na)+	40162	64178	61596	39316	43643	41777	32994	44367	57976	45921	55302	73740	74983	82454	42841	40008	27152	42284	51604	58751	63565	51342	54413	57930	54197	64025	51153	204767	39027	56639		129203		74519	37047	306239	247787	256682	246341	144746	32042		23383	181659	167581	192602	196912	150093	332567	36596			28838	215600	178197	185069	124585	107034	133520	26502
GLYCOCHOLIC ACID (M+H)+																															139070	35831	32615	58876	61577	26729	316240	31525	99164	13231	15306	9298	34172	30340		79318	145317	38585	141313	31700	164041	61920	52704	33550	19297	107653	346962	32708	171227	17054
GUANINE (M+H)+	6066	2737	2740		50574	51241	76971	22307	8727			6147	35316		5625	72175	64337	18042	7979	70118	67270	42098	3489	21901	4598	37428	64984	37075	7997	105136																														
GUANOSINE (M+H)+				4548	26724		6491		15381	17238		11376	17729	5976	3512	11110	1825			28960			21589	2475	9558		19177		2764	19869																														
HEXANOYLCARNITINE (*) M+	1425508	117446	631105	1228165	239479	386092	1777213	714104	458899	3000652	407983	891701	492563	3176988	1821250	4283291	453779	976032	889772	1148576	296278	218858	1220998	1149055	2047786	557793	1587204	300126	2487773	1216971	18794	62075	91268		117639	63405	126245	125844	152284	95342	43518	80837	51881	63200	114403	69714	72367	151614	136020	105575	33250	65089	39559	90321	145789	78962	101369	169344	104860	112981
HIPPURIC ACID (M+H)+																															701875	831020	1115554	924010	552512	1114235	537194	747160	705009	963929	801904	752869	257634	1382887	384594	434446	612575	1208606	588594	263777	933991	670477	685070	1427972	726000	499892	799717	1063221	1106280	364892
HISTAMINE (M+H)+	126614	123690	141103	217192	132846	271492	177313	103120	306142	252622	89532	280862	218203	319117	200345	289012	154927	107365	295642	279607	149464	480687	336205	267728	118530	185174	165655	76535	216327	351136																														
HISTAMINE (M+Na)+		3980	3314	5654	3293	4601			10837	5855	1301	4632	4570	6226		6980	1764	2739	7649	5173	3184	16038		7156			3918		2684	9494																														
HYPOXANTHINE (M+H)+	4482687	2207555	3269655	2423451	5213980	1607615	4019356	3734063	4474706	4787966	2301433	3037724	5684812	2885552	3920764	2087072	2959320	1678446	1892197	4980808	2617649	4052926	3239736	2984797	2698702	1198381	6882987	1176770	2937599	3537012																														
IBUPROFEN CARBOXYLIC ACID (M+Na)+																																			20725			16380		9318		1932189	4226911		19911							2830			22899			1469		
INDOLE-3-ACETIC ACID (M+H)+																															477850	415198	290401	410969	371254	333429	745402	513990	87270	471227	434337	285360	363924	329943	559573	314949	577977	799500	72664	701884	326814	520234	426322	404859	255476	343945	568709	888778	94261	512757
INOSINE 5^-PHOSPHATE (M+H)+	6839313	4202014	4849549	3872543	6466594	5133947	7534005	6334725	5462849	6577932	5960027	5739523	6887411	4350648	4564891	3534487	5935065	4552842	3614103	7932552	5128104	2875400	5270297	3420138	4673370	3538375	7091665	2282737	3014874	7337486																														
INOSINE 5^-PHOSPHATE (M+Na)+	142320	89513	57664	85773	107324	63604	122356	87086	115668	136214	98591	111986	114616	93239	91587	89284	100727	101432	76452	132172	104184	64333	68988	73385	92961	76874	148476	43071	63056	88881																														
INOSINE (M+Na)+	331052	666070	108909	415684	785143	172008	94906	477793	659451	437691	281414	433502	667415	502034	671035	246484	347715	226163	372216	517117	325379	841084	422497	389625	378724	232949	220495		497637	505591																														
ISO-BUTYRYLCARNITINE (*) (M+H)+	2214872	758593	701728	1231635	468234	374152	1950167	1490410	512779	2636990	1100397	4053654	618262	1898388	727389	3152573	784408	1312840	1402336	1313504	825906	1325287	1440079	879555	1575981	669762	1339305		1850064	1630837	324181	394835	382328	221852	351925	501778	712851	576988	131335	348118	277211	359403	202261	342844	348816	431122	445459	444332	472188	631964	281040	685454	282812	484322	218277	462925	566286	303119	692655	519992
ISOVALERYLCARNITINE (*) (M+H)+	281457	26370	58114	85797	120587	231106	163936	1223960	2475834	167895	468290	91026	44252	55909	65712	141553	408158	192675	1837845	91975	324821	83594	30254	47980	91153	56041	190092	221589	832010	294752	328372	649439	229706	292169	452162	559430	888669	421476	1092264	521370	295446	332202	173494	387566	368852	457638	482539	284312	900234	716148	309428	493533	218683	502828	395804	389335	517171	311394	639703	507734
KYNURENIC ACID (M+H)+																															105098	98708	73622	70772	40698	45859		54127	123640	61391	164051	104182	53695	56205			53865		95576	76513	114246	106291	46108	82714		54809	55867		97868	67916
KYNURENINE (M+H)+		58293	80465	120230		75506			83236	181597	61209	144426		146717	72685			152441		149408	66528				130698	65019		69693	106996	251699	849994	1752495	1083724	1287539	893604	572887	1109304	891433	1041277	1105264	985235	1420544	842058	1132166	806505	657385	914333	800128	993940	1230475	976593	1613944	1006567	1666836	875458	701444	1047496	848085	974378	1030799
L-ARGININE (M+H)+																															12437	13451	13989	13335	17709	22818	12759	23494	19573	15026	12649	9896	23709	17115	17997	10001	13597	21008	19565	12993	17877	9839	12450	12988	13995	18053	14296	8508	13415	15178
L-ARGININE (M+Na)+																															16602	23932	20129	17943	22144	29065	19824	28417	29340	17974	19198	14356	24719	22203	24851	22977	17664	21099	25439	25768	21368	20740	19088	23185	23491	27959	27117	22289	28727	20445
