metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
SN-GLYCERO-3-PHOSPHOCHOLINE (M+H)+				287048	1243748	1077691				1644567	1704528	1250927										1422552	1461698	1421905				1369543	1140356	1671928				785841		126528				857739	2686065	1572520				938389	1079490	419770				867853	2676420	888245				712248	639456	3871908
ORNITHINE (M+H)+	12808	10972	12390				20718	13415	19582				9578	12260	14580				13201	13934	13047					7954	7541				11291	7550	9296				11218	9412	9736				9268	9169	9169				15619	16236	11548				14157	17647	15022			
TRYPTOPHAN (M+Na)+	234564	192514	213536				190761	126323	172375				171182	132442	146883				184638	139818	170664				151083	146277	162029				128672	171202	155552				187166	169190	199610				211972	172769	211651				192734	191798	174657				175289	211283	155079			
PROLINE (M+H)+				2291615	2158594	2408384				1882323	2148748	2211914				1607455	1768709	2410583				1857328	2008087	1710103				1389611	1063577	1198019				1920667	949005	1003027				2499666	1674827	1838269				1372711	1448340	1582365				1938421	2008164	1776939				3296152	3258703	3264752
LYSINE (M+Na)+	11641	10505	10936				14636	9120	12356				11581	11355	11600				12240	11991	11690					10158	9145				11842	9758	10170				10418	9373	9651				10741	8569	8068				11690	11765	10736				13325	14621	13162			
DIPALMITOYL-GLYCEROL (M+H)+[-H2O]	7022	3489	7322	83628	31978	35789	6627			19661	38928	40029	4260		6472	126243	83145	47196	7303	5723	13235	54901	40649	111089	40628	28823	27050	44906	41560	122348	12467	15270	17127	52966	56746	73332	35865	40597	23873	135908	37911	43467	11118	10184	14456	122064	119478	46051	13400	6127	12183	104183	34762	37180	17166	21611	11025	107524	72324	79865
S-ADENOSYL-L-HOMOCYSTEINE (M+H)+				2246	3938					6951	12788	13601				11214		28905				8301	9670	14740											10311	9296						7412					10096					4013		3794						5443
OLEOYL-GLYCEROL (M+H)+	30299	33756	24137	9943	20077	15152	26886	26674	33601	24738	37138	16096	23759	30229	22779	15719	23716	17180	37588	19572	20361	6537	27156	14034	37473	35355	49176	7344	11437	13117	22633	31961	36589	15377	6080		44938	69041	40630	8222	4524	16834	26950	20136	21785	12137	23915	93311	21153	20151	20675	8155	16942	4432	30103	36113	21388	8944	20311	43047
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID (M+H)+		21951					67817	20134	43390				29408	22534	14080				17070		11842					15360	50038				17277	52999	39998				22429	32588	49651				23424	2997	16245											16096				
L-TRYPTOPHAN-15N2 [ISTD] (M+H)+	8957557	8690105	9232331	22325076	25074774	22889588	10172379	9566310	10151203	25058982	24337702	23412004	10271787	9330879	8983507	24904968	24312384	24930096	9600136	9381538	10702168	21261246	20938616	25023976	9568471	9784149	10348557	22350070	22760634	22119418	9564922	10113266	9931249	24180522	22679032	24737980	9713308	9299355	10268415	21409598	23183682	23628184	10307233	10041438	10511555	22332576	24063758		10541733	10300932	10075035	22872116	23983852	20182496	9808060	9795021	8923962	23041034	24743428	26375000
N-CYCLOHEXYLFORMAMIDE (M+H)+				218295		133121				194460	375402	207864				144996	164010	79327				257253	26203	69937				403921	351463	233518				63432	42102	461017				292462	303990	109311				49021	418085	90955				135034	45698	265586				585539	110134	127384
TRYPTOPHAN (M+H)+	29214504	27366172	30161156				29465234	20270138	25921362				24395144	18741874	23616490				23870124	20069748	25935052				25173370	22726020	23909348				21336504	24778852	25379470				30293352	24529032	28809896				29062704	26282356	28015896				28811052	25504864	27472392				29105818	34045404	26379772			
GLYCEROL MYRISTATE (M+Na)+		32042		40162	55302	63565	129203			64178	73740	51342		23383	28838	61596	74983	54413	74519	181659	215600	39316	82454	57930	37047	167581	178197	43643	42841	54197	306239	192602	185069	41777	40008	64025	247787	196912	124585	32994	27152	51153	256682	150093	107034	44367	42284	204767	246341	332567	133520	57976	51604	39027	144746	36596	26502	45921	58751	56639
PROPIONYLCARNITINE (*) (M+H)+		56158	8910	1756129	657920	577354	285248	226758	234098	269098	696684	665874	266576	36279	122254	483169	628150	867727		144172	126468	846473	565381	696153	416975	417873	423744	487973	468440	1648156	141092	293511	360245	732941	886902	458365	115049	260038	442669	1056936	1182752	939444	505861	535964	467200	1169253	1177002	482702	193363	655662	460790	932619	982321	1201069	222419	254621	143573	1452357	1559855	2149155
INOSINE (M+Na)+				331052	281414	325379				666070	433502	841084				108909	667415	422497				415684	502034	389625				785143	671035	378724				172008	246484	232949				94906	347715	220495				477793	226163					659451	372216	497637				437691	517117	505591
CORTISONE (M+Na)+	23204	22849	15846				35276	21469	33093				38381	17155	23166				28351	13162	24052				35388	35572	34886				30765	31700	27776				40866	37266	35652				28074	35679	33075				42603	36929	31679				34877	36203	25275			
HIPPURIC ACID (M+H)+	701875	801904	933991				831020	752869	670477				1115554	257634	685070				924010	1382887	1427972				552512	384594	726000				1114235	434446	499892				537194	612575	799717				747160	1208606	1063221				705009	588594	1106280				963929	263777	364892			
