analyte	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
16:0 LYSO PC (M+HCOO)-	592722	469204	383290	35007	17528	19687	445549	273851	242976	9655	31181	31747	285971	564400	635796	31374	30983	27878	177587	457894	336419	49985	24040	21708	273413	220690	266034	33274	25596	51003	333309	366650	479425	26657	28215	23319	457277	563814	484589	47898	32782		515282	332994	410845	29698	47508	21071	346479	355520	396734	18992	20210	28243	220686	425508	382295	34163	23510	37928
INOSINE (M+Cl)-				185000	15885	44553				38824	121837	147337				36110	141223	145625				109885	78713	114226				594118	67614	127581				75401	93117	11579				53529	145717	94160				268442	114329	7527				61583	134209	121596				357119	515642	176490
INOSINE (M-H)-				352740	32421	93797				109719	211893	283231				140306	755219	293054				214477	76284	110385				412346	135099	296706				148609	195448	72843				134315	268654	245274				462192	204399	58841				467624	140257	148866				510179	866349	522428
GLYCERIC ACID (M-H)-				65320	59962	90791				62319		55986				47892	32289	47837				48187	25247	64946				76838	65304	101717				35355	21856	31531				26556	24385	39511				81954	29663	28938				85254	52612	24038				61781	47555	72610
TRANS-VACCENIC ACID (M-H)-	12544607	13104267	10194983	899015	271105	515912	9837126	9893890	3823097	522267	623362	551747	9411129	10747840	13680651	581276	647597	817764	2831746	13383745	7815125	445730	298349	279166	9694555	9051168	11922591	420246	408835	322672	6915131	10490019	8983869	431268	223922	211223	8965087	5760907	9782497	166695	286515	162108	13346139	10720756	14533480	334889	284892	181534	7992682	9717626	7866707	451735	240890	252413	6890245	10939486	9658997	858923	1455159	1332816
ALPHA-LINOLENIC ACID (M+HCOO)-	146653	104421	239967	43426	55176	65925	174740	205674	154983	96930	48464	55213	181601	117818	65684	57956	75547	78426	85487	123068	221322	54421	27738	38528	362531	285235	430575	65786	59102	19429	244462	147587	109741	75807	26746	64120	205274	153745	180404	76515	43703	49622	224813	279796	364775	52554	47537	61311	239812	234160	228526	55105	62176	30791	228708	234192	294947	35191	85748	55951
AZELAIC ACID (M-H)-	10013	18151	15530	72450	30626	47962	15094	10712	15742	23254	56569	29292	10215	14858	22920	28029	29402	32707	19580	15286	9506	29528	43729	25570	18434	9588	6472	40745	29636	41260	10245	15552	15257	28252	18567	23813	14806	11834	14004	14583	47935	10668	21146	9518	13998	18718	32273	33671	7043	16051	15061	24425	31047	74490	14039	14968	17634	31975	45337	20642
4-NITROPHENOL (M-H)-	53444	50848	43828	102810	96857	98596	46202	60260	52374	86743	88034	99306	48397	48869	56315	112777	89690	90154	38753	48676	42507	92542	93977	93559	49783	49417	49795	94712	92172	96184	49558	48985	51221	85574	97450	93329	51097	45752	49702	17351	95359	19158	52215	46414	52213	83775	92355	88790	54931	58809	48918	98951	96182	91918	45133	53340	48244	84604	169556	89902
CORTICOSTERONE (M+Cl)-	1720		1253						2464					3117	2243				2705						5549	5988						2941	2358				1165		2880				6162	12276	16423				1566											
LAURIC ACID (M-H)-	13478	15478	17262	29608	11741	13307	16969	17249	15156	15904	12185	15674	12635	39213	27136	11153	15067	12639	15666	25638	13409	11315	13634	11577	18291	14906	12613	11000	14677	13828	17433	27441	15446	11052	11583	9900	16686	16823	13070	8119	12064	7709	27747	28585	39940	12957	12084	11463	14826	15036	16000	15577	9595	11083	10791	19374	11493	17315	19193	28230
N-ACETYL-L-ALANINE (M-H)-				47711	2394	33473					30646	23823				18912	19885	31698				29374	35687	23987				21160	18099	41479				37451	36966	17142				6570	35550					24459	36659	13456				24169	28728	31345				62525	42465	59422
PALMITIC ACID (M-H)-	4837852	6129641	5143043	494840	403333	448751	3989568	4626574	1981699	471309	375400	407434	3821359	7249501	4224329	504945	406920	442334	1404207	5626322	3691839	455956	291840	369428	5860097	5308586	6060844	390090	418410	254034	4113903	5981434	3855827	408083	306328	336157	4275101	5563413	4080469	222377	352360	165442	6109468	5741273	7544876	317866	335613	369289	4653388	4952145	4344823	401983	446982	304516	3673722	5630343	5285243	354129	805845	666143
RETINOIC ACID (M-H)-				2059	1968	2298				1214	1539	2059				2960	1837	1508				2543	1854	1529				1684	1393	2630				2169	1306	2150	1079			1198	2395					2246	2204	1105		1175	16423	2151	4494		30274		25061	1863	13643	4583
METHYLMALONIC ACID (M-H)-	71231	38408	42206				51736	53553	47847				23676	37265	49065				63820	40969	46574				42163	40486	32204				22447	20361	58447				46212	43791	47426				53144	29951	38302				29931	32124	29559				34425	60777	44883			
EPIBRASSINOLIDE [ISTD] (M+HCOO)-	2887242	2790420	2302845				2437111	2692100	2445340				2368696	2868915	3384599				2104331	2794218	2331319				2413945	2340974	2121007				2341048	2265915	2743383				2314985	2172341	2383012				2494494	2267958	2339524				2238990	2446939	2326204				2048562	2463362	2186699			
MANDELIC ACID #2 (M-H)-				2970016	2347213	29637				2764643	1169133	3206514				5448923	91414	28080				2260625	1363682	1737236				1302814	4686496	7341431				1549377	1913353	2288334				2204551	2104589	924181				6562577	3879082	3866927				6578528	4977489	4153598				4810440	1207886	958192
ZEATIN [ISTD] (M+Cl)-	45400	52814	69414	273056	268066	275319	81825	38010	63049	218254	273072	235137	64175	28313	44095	261490	226733	244768	45244	63776	78280	252567	273074	254890	94245	91653	85153	275459	239094	277034	74514	85673	76818	225187	273247	236833	87334	73465	86012	44082	265681	41472	83268	80982	81362	260661	271202	235141	75639	80496	79460	271931	281095	265689	75588	86153	77619	289054	277313	269207
URIC ACID (M-H)-	416195	435271	329998	3322		66548	310655	381108	350689	6179	49956	1561	245191	465718	79104		18117	14317	392787	345024	365250	7102	4105		342679	362105	580209	25593		2426	328855	335057	175054	55895		36182	460925	346193	448846	2428	40697	3949	652289	298379	321264	2982	70123		170790	366907	616079	5156	33415	4363	470904	338881	555399	29106	161198	92887
MALIC ACID (M-H)-	41316	76587	134144	3694590	2053395	3571867	84691	111445	92551		5606759		97912	109230	79229	4624656	3481045	3782119	73618	73006	55004	3659362	4950633	3478193	48135	41333	38991	3436212		5000190	2815	19198	110881	4175320	6873080	5133750	118246	86630	126630	2700955	4228892	1023269	80415	63781	59279	1474498	5069757		39569	31485	63751	4303383	6165194	5683201	80669	73157	72482	4246727	4021274	3598279
PALMITOLEIC ACID (M-H)-	1142074	917309	748804	69366	33400	49688	1207121	1224811	388560	45931	48275	63001	1712533	2914707	1794147	110975	54204	69990	342567	1714010	738094	45398	58357	42691	1219511	1246685	1614233	47625	75676	58635	583217	990271	993909	36014	43096	30780	1160587	1780538	1171934	23423	44853	21068	2374151	1445905	2627138	36757	36623	34478	389046	571083	337337	38031	30728	45342	636332	1027822	828421	78155	96641	80443
L-[15N]ANTHRANILIC ACID [ISTD] (M-H)-	126825	110865	118990	580844	660628	663335	75041	77423	85333	607704	633274	615311	118309	193043	165336	515212	567615	572016	160578	184281	173653	621615	638432	625355	151950	150682	136415	655288	557140	170140	119690	131950	130543	605331	615315	611473	86254	96637	104239	124092	655684	131391	107315	121979	130774	187678	624668	636251	105438	124767	98033	107446	635975	581270	150528	120572	143858	601600	618611	609323
GLUCOSE (M+Cl)-			140681				841053		879857				88045		59405				94800	709688	121783				938635	845001	819639				126603	115845	776512				99968	117892	139883				111514	1122791					1114952							137579				
OLEOYL-GLYCEROL (M+HCOO)-	14221	5994	14024	26645	14332	25804	35275	10692	7321	17646	53041	33660	6247	31100	27705	26424	32327	31316	4188	17559	7992	17583	16704	17359	26515	10383	18095	24893	20471	15278	12123	18109	23098	26331	14427	16840	23697	43068	26157	10937	16721	9327	22852	9046	18482	19241	19402	9808	7955	9041	11155	23863	21800	14772	6812	23896	13872	38676	63373	51686
TRICARBALLYLIC ACID (M-H)-[-H2O]				373130	55621	56224				60801	12748	16355				22915	155598	84210				43584	38827	173453				174408	238414	358984				109779	17530	40463				17038	161519	40273				587615	212558	148047				235714	23314	116143				181408	27692	620906
PANTOTHENIC ACID (M-H)-	31901	14680	10831	880139	130677	148803	7984	9344	4952	31889	137191	58846	9371	7568	4119	40317	77807	66453	9588	9588	6672	124653	160102	92874	14824	15645	14341	142426	108878	336314	6445	8356	2788	109593	248345	92245	13529			34739	283316	25509	11130	13792	13816	269729	1136244	276609	6855	9017	7548	6064292	135860	111801	14426	17334	17726	235008	211760	353767
LINOLEIC ACID (M-H)-	5859996	5695904	4709643	584738	437323	574383	3812664	4745248	1812971	593217	398846	620192	4746734	8781470	6086212	537769	584229	653827	1852860	6034445	3224000	826877	345723	434530	3778788	3129137	4213442	452327	465597	432796	2450068	4138439	3373653	501044	393191	483401	3617252	5008057	3615632	447145	373441	553612	6023502	4620397	7254220	494499	496874	477317	3220952	3990262	3370290	553499	432971	417835	2504900	4102491	3559739	543984	702179	670206
IBUPROFEN CARBOXYLIC ACID (M-H)-								210708						657107												1282																																		
URSODIOL (M+HCOO)-	21834	16617	12953				6516	2616	4594				23610	145289	97945				12818	34484	13962				25223	17304	2898				57836	2748	8484				33662	18958	16568				39344	84720	19749				7841	32569	4243				6561	106020	13671			
URIDINE (M+Cl)-	1418683	1112740	973303	312967	177191	234522	602583	917543	796050	169141	186509	140281	768896	793760	791821	296767	323329	243293	406365	581786	515290	183195	167086	172621	686880	520371	776618	431245	85550	178991	746787	1000893	762845	114237	223337	51981	1101377	793604	983310	84044	127933	164043	873426	663101	780871	175456	109260	64265	883393	944637	966337	434681	131626	243869	778750	948727	1300363	365707	441579	363813
ALPHA-HYDROXYISOBUTYRIC ACID (M-H)-	279013	309247	243323	31551		27377	213291	382132	197178		24101	16102	332406	233521	161350	27552	12833	15549	212991	52680	213885	19329	19604	21766	336258	327579	334415	23680	18155	46865	262432	211724	290269	24995	38195	14917	501912	426299	478838		37175		217399	195204	173102	16687	17961	13264	251737	277659	179344	23019	19854	20393	388039	359854	407875	45506	29212	52079
