analyte	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
NERVONIC ACID (M-H)-	11291	4900	7576	8046	5987	14145	1749	7389	5954	10152	6126	12354	7595	6425	3104	4738	6309	6146	8177	15283	10175	7379	15302	6702	4799	6313	2067	4377	2992	10804	60630	35165	24288	14746	25978	27025	33826	32494	31762	23006	47878	34648	47057	65668	22129	28096	63310	36151	30823	38232	32958	18225	48828	37598	29268	28071	38106	42712	32051	40791
OLEOYL-GLYCEROL (M+HCOO)-	26645	17646	26424	17583	24893	26331	10937	19241	23863	38676	14332	53041	32327	16704	20471	14427	16721	19402	21800	63373	25804	33660	31316	17359	15278	16840	9327	9808	14772	51686	14221	35275	6247	4188	26515	12123	23697	22852	7955	6812	5994	10692	31100	17559	10383	18109	43068	9046	9041	23896	14024	7321	27705	7992	18095	23098	26157	18482	11155	13872
OXALOACETIC ACID (M-H)-[-H2O]																															3944	3655	4147	4043	3551	3779	2801	3273	4355	4639	17386	5017	19052	10957	3806	2811	2498	4723	3218	23789	14846	3587		13887		4178	6597	3222		3519
PALMITIC ACID (M-H)-	494840	471309	504945	455956	390090	408083	222377	317866	401983	354129	403333	375400	406920	291840	418410	306328	352360	335613	446982	805845	448751	407434	442334	369428	254034	336157	165442	369289	304516	666143	4837852	3989568	3821359	1404207	5860097	4113903	4275101	6109468	4653388	3673722	6129641	4626574	7249501	5626322	5308586	5981434	5563413	5741273	4952145	5630343	5143043	1981699	4224329	3691839	6060844	3855827	4080469	7544876	4344823	5285243
PALMITOLEIC ACID (M-H)-	69366	45931	110975	45398	47625	36014	23423	36757	38031	78155	33400	48275	54204	58357	75676	43096	44853	36623	30728	96641	49688	63001	69990	42691	58635	30780	21068	34478	45342	80443	1142074	1207121	1712533	342567	1219511	583217	1160587	2374151	389046	636332	917309	1224811	2914707	1714010	1246685	990271	1780538	1445905	571083	1027822	748804	388560	1794147	738094	1614233	993909	1171934	2627138	337337	828421
PANTOTHENIC ACID (M+Cl)-	117407	3528		13614	18250	14284	3337	38355	464546	33388	14321	17162	9140	20726	12422	35981	40640	142676	17177	29624	18690	6621	8517	10526	47977	10618	2343	34554	13827	46721																														
PANTOTHENIC ACID (M-H)-	880139	31889	40317	124653	142426	109593	34739	269729	6064292	235008	130677	137191	77807	160102	108878	248345	283316	1136244	135860	211760	148803	58846	66453	92874	336314	92245	25509	276609	111801	353767	31901	7984	9371	9588	14824	6445	13529	11130	6855	14426	14680	9344	7568	9588	15645	8356		13792	9017	17334	10831	4952	4119	6672	14341	2788		13816	7548	17726
PHENYLALANINE (M-H)-	31587	7783	14628	24649	18397	17912	6074	23372	21028	40204	13476	21446	11494	25593	13376	26240	22511	25542	17867	27923	20338	17071	14369	23550	24822	12964	5016	13213	22249	43912	220640	218840	156763	189662	138975	116326	162282	180491	161494	166494	182007	179370	216359	200081	129444	171571	104469	155145	163834	214638	143618	236779	226198	181995	120479	195680	136412	180912	138820	185264
PHOSPHOCREATINE (M-H)-		8810					12461								3856																																													
PHTHALIC ACID (M-H)-	13609	11335	11880	11767	15583	12373	2174	10498	13976	11659	8008	12543	10618	13364	17682	11744	13076	10992	11733	13202	11565	16106	10998	10048	15638	10948		10720	12661	10047	24436	25702	25550	31083	22581	25599	19014	29318	28931	24263	25989	27250	23163	42949	17054	20395	21807	27551	32294		29854	28647	47422	33635	17297	19856	34599	25034	40515	17250
PHYTANIC ACID (M-H)-	4003	4411	2497	2588		2472		1705	2198	2606	2209	2502	1988	2059	2261	1722	1897	2179	1894	3462	2544	1634	2135	1507	1980	1573	1011	2093	2199	2907	231752	280915	47563	9766	86372	119326	130383	230927	103824	23000	175139	73692	311350	196656	70365	220083	397018	79589	136282	113684	187747	28023	326848	123434	69206	207160	204643	103387	131706	81587
PYRUVIC ACID (M-H)-	78472	18109	89402	26556	63797	41354		90856	63385	58895	79497	15658	32326	12723	68947	17391	28542	38433	34128	50066	34489	47692	27078	59087	82796	20515		21961	20948	42307																														
RETINOIC ACID (M-H)-	2059	1214	2960	2543	1684	2169	1198	2246	2151	1863	1968	1539	1837	1854	1393	1306	2395	2204	4494	13643	2298	2059	1508	1529	2630	2150		1105		4583							1079			30274									1175										16423	25061
SALICYLATE #2 (M-H)-	13952	10870	10651	6993	9854	7516		9176		10831		8264	9965		10180	10469	10444	8797	7524	13817	12303	13325	12930	9149	8862	10341		9593	12388	7520	48144	21083	50244	9911	67230	21812	17667	58397	22498	21921	35649	28422	56045	12628	23772	59687	19905	173713	30839	41570	102739	38277	159996	12405	29308	28318	17092	195360	20534	21374
STEARIC ACID (M-H)-	997516	968542	735883	664769	619750	622767	375897	444217	610403	493635	639441	712648	673221	459375	547445	527575	541628	536958	827473	1151319	744207	669844	569673	553704	346635	539125	219323	453179	470986	853012	5084158	3561043	1056451	684372	2021739	2304428	2538047	2812540	2357468	985417	4444078	1579450	5224498	4387706	1506400	4650324	5336417	1499610	2792804	3126179	4612426	748746	3916894	1551157	1916151	3181901	3165758	2107173	2621780	2211742
SUBERIC ACID (M-H)-	11820	6782	9183	10961	12857	8582		5033	7834	8812	9398	17886	8716	13433	12691	4780	14868	8774	11035	15730	18586	9046	11941	10048	13196	6771	1551	9439	19483	8010																														
SUCCINIC ACID (M-H)-	492184	70653	536153	939227	354739	1730861	200624	668358	758044	792960	173020	2090499	418452	1291063	297954	1182517	596928	1688510	1851735	450860	748776	689680	1472324	581628	870958	1824822	51774	951173	1395361	754712	44714	34138	30237	33889	40233	47842	77198	72543	35096	18526	24670	39870	68224	28007	40609	60432	47496	29437	45548	30285	76459	49760	41732	49998	37061	103700	64928	36556	48359	28957
THEOPHYLLINE (M-H)-	7577	1905			6930			15611		6362	8462	8318			2658			9154			6770				15859			8347			33053	51916			32620	8112		54728		17252	44695	27546	4977	11608	34393	5214		29041		23156	39142		10063		30955	9834		65855	8859	
