MNXM10956	Cs e deg5	MNXM10956_l	C31H47NO35S3		-4	bigg:M_cs_e_deg5;bigg:cs_e_deg5
MNXM10957	Cs e deg6	MNXM10957_l	C31H48NO32S2		-3	bigg:M_cs_e_deg6;bigg:cs_e_deg6
MNXM10958	Cs e pre3	MNXM10958_g	C37H52NO43S4X		-6	bigg:M_cs_e_pre3;bigg:cs_e_pre3
MNXM10959	Cs e pre5a	MNXM10959_g	C45H64N2O51S5X		-7	bigg:M_cs_e_pre5a;bigg:cs_e_pre5a
MNXM10960	Cs e pre5b	MNXM10960_g	C45H64N2O51S5X		-7	bigg:M_cs_e_pre5b;bigg:cs_e_pre5b
MNXM11	diphosphate	MNXM11_b;MNXM11_c;MNXM11_e;MNXM11_m;MNXM11_n;MNXM11_r;MNXM11_x	HO7P2	174.9529	-3	chebi:13420;chebi:18361;chebi:29888;chebi:33017;chebi:33018;chebi:33019;chebi:42009;chebi:45067;chebi:45208;chebi:45212;chebi:8683;bigg:M_ppi;bigg:ppi;deprecated:MNXM108377;deprecated:MNXM125030;deprecated:MNXM125031;deprecated:MNXM89571;deprecated:MNXM96409;hmdb:HMDB00250;kegg:C00013;metacyc:PPI;reactome:111294;reactome:1132084;reactome:113541;reactome:113542;reactome:159450;reactome:2046049;reactome:389593;reactome:6806656;reactome:8878981;reactome:8938078;sabiork:1267;seed:cpd00012
MNXM1106	aminoacetone	MNXM1106_c;MNXM1106_m	C3H8NO	74.1012	1	chebi:13767;chebi:17906;chebi:19025;chebi:2648;chebi:42749;chebi:42849;chebi:58320;bigg:M_aact;bigg:aact;hmdb:HMDB02134;hmdb:HMDB60177;kegg:C01888;metacyc:AMINO-ACETONE;seed:cpd01298
MNXM111	Fe(2+)	MNXM111_b;MNXM111_c;MNXM111_e;MNXM111_m	Fe	55.844	2	chebi:13319;chebi:13321;chebi:21129;chebi:24876;chebi:29033;chebi:34754;chebi:49599;bigg:M_fe2;bigg:fe2;deprecated:MNXM105788;hmdb:HMDB00692;kegg:C14818;metacyc:FE+2;sabiork:1275;seed:cpd10515
MNXM11120	(11Z)-octadecenoate	MNXM11120_b;MNXM11120_c;MNXM11120_e	C18H33O2	281.454	-1	chebi:30826;chebi:30827;chebi:46425;chebi:50464;lipidmaps:LMFA01030076;metacyc:CPD-9247;seed:cpd25615;slm:000001202
MNXM1113	kynurenate	MNXM1113_c	C10H6NO3	188.1601	-1	chebi:14495;chebi:18344;chebi:1841;chebi:20378;chebi:24991;chebi:58454;deprecated:MNXM92402;hmdb:HMDB00715;kegg:C01717;metacyc:KYNURENATE;reactome:893587;reactome:893594;sabiork:5750;seed:cpd01182
MNXM1114	melatonin	MNXM1114_c	C13H16N2O2	232.2783	0	chebi:14577;chebi:16796;chebi:25180;chebi:6730;deprecated:MNXM90420;deprecated:MNXM90555;hmdb:HMDB01389;kegg:C01598;kegg:D08170;metacyc:N-ACETYL-5-METHOXY-TRYPTAMINE;reactome:209934;sabiork:5689;seed:cpd01124
MNXM1115	beta-nicotinamide D-riboside	MNXM1115_c	C11H15N2O5	255.2467	1	chebi:12527;chebi:15927;chebi:21786;chebi:47589;chebi:7337;bigg:M_rnam;bigg:rnam;hmdb:HMDB00855;kegg:C03150;metacyc:NICOTINAMIDE_RIBOSE;reactome:8869377;reactome:8936514;reactome:8940077;seed:cpd02016
MNXM1123	uroporphyrinogen I	MNXM1123_b;MNXM1123_e	C40H36N4O16	828.7354	-8	chebi:27256;chebi:28766;chebi:62626;chebi:9904;bigg:M_uppg1;bigg:uppg1;deprecated:MNXM90190;deprecated:MNXM91326;hmdb:HMDB02211;kegg:C05766;metacyc:CPD-11444;reactome:190157;seed:cpd03414
MNXM11293	D-Tagatose-1-phosphate	MNXM11293_c	C6H11O9P		-2	bigg:M_tag1p__D;bigg:tag1p__D;deprecated:MNXM48620;hmdb:HMDB06328
MNXM113	GMP	MNXM113_b;MNXM113_c;MNXM113_e;MNXM113_g;MNXM113_l;MNXM113_m;MNXM113_n	C10H12N5O8P	361.2058	-2	chebi:13341;chebi:14381;chebi:17345;chebi:24449;chebi:24450;chebi:29058;chebi:40119;chebi:42615;chebi:42647;chebi:42831;chebi:42887;chebi:42892;chebi:42979;chebi:47450;chebi:5228;chebi:58115;bigg:M_gmp;bigg:gmp;deprecated:MNXM526149;deprecated:MNXM89904;hmdb:HMDB01397;kegg:C00144;metacyc:GMP;sabiork:1309;seed:cpd00126
MNXM11301	N2m2mn	MNXM11301_l	C42H71N3O31		0	bigg:M_n2m2mn;bigg:n2m2mn
MNXM1131	2-aminomuconate	MNXM1131_c	C6H6NO4	156.1167	-1	chebi:1021;chebi:11524;chebi:16886;chebi:19473;chebi:57937;chebi:77859;bigg:M_amuco;bigg:amuco;deprecated:MNXM162857;deprecated:MNXM91877;deprecated:MNXM91878;hmdb:HMDB01241;hmdb:HMDB02018;kegg:C02220;lipidmaps:LMFA01170082;metacyc:2-AMINO-MUCONATE;reactome:32913;seed:cpd01496
MNXM11315	Dedoldp U	MNXM11315_c	C1025H1650O70P20			bigg:M_dedoldp_U;bigg:dedoldp_U
MNXM11317	Dedolp U	MNXM11317_c	C1025H1650O40P10			bigg:M_dedolp_U;bigg:dedolp_U
MNXM11319	Dedol U	MNXM11319_c	C1025H1660O10			bigg:M_dedol_U;bigg:dedol_U
MNXM1138	5beta-cholestane-3alpha,7alpha,26-triol	MNXM1138_c;MNXM1138_m	C27H48O3	420.6682	0	chebi:1702;chebi:20226;chebi:28540;deprecated:MNXM3513;deprecated:MNXM35877;deprecated:MNXM90133;hmdb:HMDB12455;kegg:C05444;lipidmaps:LMST04030020;reactome:193387;reactome:193842;sabiork:7916;seed:cpd03227
MNXM114	L-proline	MNXM114_b;MNXM114_c;MNXM114_e;MNXM114_l;MNXM114_m;MNXM114_r	C5H9NO2	115.1305	0	chebi:13154;chebi:17203;chebi:184637;chebi:21373;chebi:26271;chebi:32862;chebi:32864;chebi:32871;chebi:32872;chebi:42067;chebi:45040;chebi:45100;chebi:45159;chebi:58054;chebi:60039;chebi:6286;bigg:M_pro__L;bigg:pro__L;deprecated:MNXM12756;deprecated:MNXM89766;deprecated:MNXM92612;deprecated:MNXM96442;hmdb:HMDB00162;kegg:C00148;kegg:C16435;kegg:D00035;metacyc:PRO;reactome:113538;reactome:352033;reactome:379717;sabiork:25536;sabiork:82;seed:cpd00129;seed:cpd15140
MNXM114070	L-homocysteine	MNXM114070_c	C4H9NO2S	135.185	0	chebi:13122;chebi:17588;chebi:21329;chebi:43117;chebi:58199;chebi:6245;chebi:63072;bigg:M_hcys__L;bigg:hcys__L;kegg:C00155;metacyc:HOMO-CYS;sabiork:1950
MNXM11408	DsT antigen	MNXM11408_b;MNXM11408_g	C36H56N3O26X		-2	bigg:M_dsT_antigen;bigg:dsT_antigen
MNXM114087	(2S)-2-amino-3-oxobutanoate	MNXM114087_m	C4H7NO3	117.1033	0	chebi:13048;chebi:16944;chebi:21195;chebi:35229;chebi:40668;chebi:40673;chebi:6156;chebi:78948;bigg:2aobut;bigg:M_2aobut;deprecated:MNXM815;hmdb:HMDB06454;kegg:C03508;lipidmaps:LMFA01060172;metacyc:AMINO-OXOBUT;reactome:6798652;sabiork:6672;seed:cpd02211
MNXM114091	(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylate	MNXM114091_c;MNXM114091_m	C5H6NO3	128.1066	-1	chebi:6151;chebi:62612;bigg:1p3h5c;bigg:M_1p3h5c;hmdb:HMDB62585;kegg:C04281;metacyc:PYRROLINE-HYDROXY-CARBOXYLATE;seed:cpd02625
MNXM114114	thyroxine	MNXM114114_b;MNXM114114_c;MNXM114114_e	C15H11I4NO4	776.87	0	chebi:13177;chebi:18332;chebi:21406;chebi:305790;chebi:30660;chebi:45848;chebi:58448;chebi:60302;chebi:7663;deprecated:MNXM89988;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/e3e43446-7778-4d3c-9229-ab4812add777;hmdb:HMDB00248;hmdb:HMDB01918;kegg:C01829;kegg:D06121;kegg:D06122;kegg:D08125;metacyc:L-THYROXINE;reactome:209937;reactome:352326;sabiork:2321;seed:cpd01259;seed:cpd27373
MNXM114141	2-hydroxy-3-(4-hydroxyphenyl)-propanoate	MNXM114141_m	C9H9O4	181.1659	-1	chebi:1117;chebi:11726;chebi:1430;chebi:17385;chebi:19598;chebi:19600;chebi:19932;chebi:28403;chebi:36659;bigg:34hpl;bigg:M_34hpl;deprecated:MNXM527270;hmdb:HMDB00755;kegg:C03672;metacyc:4-HYDROXYPHENYLLACTATE;sabiork:6782;seed:cpd02305
